"measure_number","measure","financial_year","quarter","year_month","ethnicity","district","region","age","measure_type","value"
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"South Canterbury","Te Waipounamu",NA,"Percent",0.845
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Southern","Te Waipounamu",NA,"Value",17
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Southern","Te Waipounamu",NA,"Percent",0.981
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Tairāwhiti","Te Manawa Taki",NA,"Value",0
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Tairāwhiti","Te Manawa Taki",NA,"Percent",1
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Taranaki","Te Manawa Taki",NA,"Value",0
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Taranaki","Te Manawa Taki",NA,"Percent",1
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Waikato","Te Manawa Taki",NA,"Value",0
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Waikato","Te Manawa Taki",NA,"Percent",1
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Wairarapa","Central",NA,"Value",0
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Wairarapa","Central",NA,"Percent",1
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Waitematā","Northern",NA,"Value",0
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Waitematā","Northern",NA,"Percent",1
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"West Coast","Te Waipounamu",NA,"Value",0
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"West Coast","Te Waipounamu",NA,"Percent",1
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Whanganui","Central",NA,"Value",1
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Whanganui","Central",NA,"Percent",0.995
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"National","National",NA,"Value",128
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"National","National",NA,"Percent",0.992
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"Auckland","Northern",NA,"Value",95
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"Auckland","Northern",NA,"Percent",0.968
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"Bay of Plenty","Te Manawa Taki",NA,"Value",11
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"Bay of Plenty","Te Manawa Taki",NA,"Percent",0.974
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"Canterbury","Te Waipounamu",NA,"Value",0
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"Canterbury","Te Waipounamu",NA,"Percent",1
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"Capital & Coast","Central",NA,"Value",0
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"Capital & Coast","Central",NA,"Percent",1
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"Counties Manukau","Northern",NA,"Value",0
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"Counties Manukau","Northern",NA,"Percent",1
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"Hawke's Bay","Central",NA,"Value",0
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"Hawke's Bay","Central",NA,"Percent",1
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"Hutt Valley","Central",NA,"Value",0
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"Hutt Valley","Central",NA,"Percent",1
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"Lakes","Te Manawa Taki",NA,"Value",0
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"Lakes","Te Manawa Taki",NA,"Percent",1
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"MidCentral","Central",NA,"Value",0
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"MidCentral","Central",NA,"Percent",1
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"Nelson Marlborough","Te Waipounamu",NA,"Value",1
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"Nelson Marlborough","Te Waipounamu",NA,"Percent",0.997
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"Northland","Northern",NA,"Value",0
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"Northland","Northern",NA,"Percent",1
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"South Canterbury","Te Waipounamu",NA,"Value",0
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"South Canterbury","Te Waipounamu",NA,"Percent",1
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"Southern","Te Waipounamu",NA,"Value",19
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"Southern","Te Waipounamu",NA,"Percent",0.982
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"Tairāwhiti","Te Manawa Taki",NA,"Value",0
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"Tairāwhiti","Te Manawa Taki",NA,"Percent",1
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"Taranaki","Te Manawa Taki",NA,"Value",0
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"Taranaki","Te Manawa Taki",NA,"Percent",1
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"Waikato","Te Manawa Taki",NA,"Value",2
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"Waikato","Te Manawa Taki",NA,"Percent",0.998
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"Wairarapa","Central",NA,"Value",0
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"Wairarapa","Central",NA,"Percent",1
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"Waitematā","Northern",NA,"Value",0
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"Waitematā","Northern",NA,"Percent",1
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"West Coast","Te Waipounamu",NA,"Value",0
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"West Coast","Te Waipounamu",NA,"Percent",1
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"Whanganui","Central",NA,"Value",0
