"measure_number","measure","financial_year","quarter","year_month","ethnicity","district","region","measure_type","value"
"1.1","ESPI8","2019/20","Jun","2020-06",NA,"Hawke's Bay","Central","Value",0
"1.1","ESPI8","2019/20","Jun","2020-06",NA,"Hawke's Bay","Central","Percent",100
"1.1","ESPI8","2019/20","Jun","2020-06",NA,"Hutt Valley","Central","Value",0
"1.1","ESPI8","2019/20","Jun","2020-06",NA,"Hutt Valley","Central","Percent",100
"1.1","ESPI8","2019/20","Jun","2020-06",NA,"Lakes","Te Manawa Taki","Value",0
"1.1","ESPI8","2019/20","Jun","2020-06",NA,"Lakes","Te Manawa Taki","Percent",100
"1.1","ESPI8","2019/20","Jun","2020-06",NA,"MidCentral","Central","Value",0
"1.1","ESPI8","2019/20","Jun","2020-06",NA,"MidCentral","Central","Percent",100
"1.1","ESPI8","2019/20","Jun","2020-06",NA,"Nelson Marlborough","Te Waipounamu","Value",0
"1.1","ESPI8","2019/20","Jun","2020-06",NA,"Nelson Marlborough","Te Waipounamu","Percent",100
"1.1","ESPI8","2019/20","Jun","2020-06",NA,"Northland","Northern","Value",0
"1.1","ESPI8","2019/20","Jun","2020-06",NA,"Northland","Northern","Percent",100
"1.1","ESPI8","2019/20","Jun","2020-06",NA,"South Canterbury","Te Waipounamu","Value",0
"1.1","ESPI8","2019/20","Jun","2020-06",NA,"South Canterbury","Te Waipounamu","Percent",100
"1.1","ESPI8","2019/20","Jun","2020-06",NA,"Southern","Te Waipounamu","Value",1
"1.1","ESPI8","2019/20","Jun","2020-06",NA,"Southern","Te Waipounamu","Percent",99.9
"1.1","ESPI8","2019/20","Jun","2020-06",NA,"Tairāwhiti","Te Manawa Taki","Value",0
"1.1","ESPI8","2019/20","Jun","2020-06",NA,"Tairāwhiti","Te Manawa Taki","Percent",100
"1.1","ESPI8","2019/20","Jun","2020-06",NA,"Taranaki","Te Manawa Taki","Value",0
"1.1","ESPI8","2019/20","Jun","2020-06",NA,"Taranaki","Te Manawa Taki","Percent",100
"1.1","ESPI8","2019/20","Jun","2020-06",NA,"Waikato","Te Manawa Taki","Value",95
"1.1","ESPI8","2019/20","Jun","2020-06",NA,"Waikato","Te Manawa Taki","Percent",92.5
"1.1","ESPI8","2019/20","Jun","2020-06",NA,"Wairarapa","Central","Value",0
"1.1","ESPI8","2019/20","Jun","2020-06",NA,"Wairarapa","Central","Percent",100
"1.1","ESPI8","2019/20","Jun","2020-06",NA,"Waitematā","Northern","Value",0
"1.1","ESPI8","2019/20","Jun","2020-06",NA,"Waitematā","Northern","Percent",100
"1.1","ESPI8","2019/20","Jun","2020-06",NA,"West Coast","Te Waipounamu","Value",0
"1.1","ESPI8","2019/20","Jun","2020-06",NA,"West Coast","Te Waipounamu","Percent",100
"1.1","ESPI8","2019/20","Jun","2020-06",NA,"Whanganui","Central","Value",0
"1.1","ESPI8","2019/20","Jun","2020-06",NA,"Whanganui","Central","Percent",100
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"National","National","Value",203
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"National","National","Percent",98.9
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"Auckland","Northern","Value",82
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"Auckland","Northern","Percent",96.8
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"Bay of Plenty","Te Manawa Taki","Value",2
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"Bay of Plenty","Te Manawa Taki","Percent",99.7
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"Canterbury","Te Waipounamu","Value",8
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"Canterbury","Te Waipounamu","Percent",99.5
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"Capital & Coast","Central","Value",0
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"Capital & Coast","Central","Percent",100
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"Counties Manukau","Northern","Value",0
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"Counties Manukau","Northern","Percent",100
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"Hawke's Bay","Central","Value",0
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"Hawke's Bay","Central","Percent",100
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"Hutt Valley","Central","Value",0
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"Hutt Valley","Central","Percent",100
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"Lakes","Te Manawa Taki","Value",1
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"Lakes","Te Manawa Taki","Percent",99.8
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"MidCentral","Central","Value",0
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"MidCentral","Central","Percent",100
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"Nelson Marlborough","Te Waipounamu","Value",0
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"Nelson Marlborough","Te Waipounamu","Percent",100
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"Northland","Northern","Value",0
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"Northland","Northern","Percent",100
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"South Canterbury","Te Waipounamu","Value",0
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"South Canterbury","Te Waipounamu","Percent",100
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"Southern","Te Waipounamu","Value",3
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"Southern","Te Waipounamu","Percent",99.7
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"Tairāwhiti","Te Manawa Taki","Value",0
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"Tairāwhiti","Te Manawa Taki","Percent",100
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"Taranaki","Te Manawa Taki","Value",0
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"Taranaki","Te Manawa Taki","Percent",100
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"Waikato","Te Manawa Taki","Value",106
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"Waikato","Te Manawa Taki","Percent",93.2
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"Wairarapa","Central","Value",1
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"Wairarapa","Central","Percent",99.2
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"Waitematā","Northern","Value",0
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"Waitematā","Northern","Percent",100
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"West Coast","Te Waipounamu","Value",0
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"West Coast","Te Waipounamu","Percent",100
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"Whanganui","Central","Value",0
"1.1","ESPI8","2020/21","Sep","2020-09",NA,"Whanganui","Central","Percent",100
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"National","National","Value",106
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"National","National","Percent",99.3
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"Auckland","Northern","Value",71
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"Auckland","Northern","Percent",97.2
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"Bay of Plenty","Te Manawa Taki","Value",0
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"Bay of Plenty","Te Manawa Taki","Percent",100
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"Canterbury","Te Waipounamu","Value",0
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"Canterbury","Te Waipounamu","Percent",100
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"Capital & Coast","Central","Value",0
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"Capital & Coast","Central","Percent",100
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"Counties Manukau","Northern","Value",0
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"Counties Manukau","Northern","Percent",100
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"Hawke's Bay","Central","Value",0
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"Hawke's Bay","Central","Percent",100
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"Hutt Valley","Central","Value",0
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"Hutt Valley","Central","Percent",100
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"Lakes","Te Manawa Taki","Value",2
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"Lakes","Te Manawa Taki","Percent",99.4
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"MidCentral","Central","Value",0
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"MidCentral","Central","Percent",100
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"Nelson Marlborough","Te Waipounamu","Value",0
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"Nelson Marlborough","Te Waipounamu","Percent",100
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"Northland","Northern","Value",1
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"Northland","Northern","Percent",99.9
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"South Canterbury","Te Waipounamu","Value",0
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"South Canterbury","Te Waipounamu","Percent",100
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"Southern","Te Waipounamu","Value",9
